[27-Jun-2017 11:49:04 Europe/London] PHP Fatal error:  Class 'CheckboxFiel' not found in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 22
[27-Jun-2017 11:53:07 Europe/London] PHP Warning:  Missing argument 2 for FieldList::addFieldToTab(), called in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\SectionImageBlock.php on line 17 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 117
[27-Jun-2017 11:53:20 Europe/London] PHP Warning:  Missing argument 2 for FieldList::addFieldToTab(), called in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\SectionImageBlock.php on line 17 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 117
[27-Jun-2017 11:53:31 Europe/London] PHP Warning:  Missing argument 2 for FieldList::addFieldToTab(), called in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\SectionImageBlock.php on line 17 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 117
[27-Jun-2017 12:33:27 Europe/London] PHP Catchable fatal error:  Argument 1 passed to CompositeField::push() must be an instance of FormField, null given, called in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 126 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\CompositeField.php on line 220
[27-Jun-2017 12:33:30 Europe/London] PHP Catchable fatal error:  Argument 1 passed to CompositeField::push() must be an instance of FormField, null given, called in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 126 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\CompositeField.php on line 220
[27-Jun-2017 12:50:43 Europe/London] PHP Fatal error:  Call to a member function addFieldsToTab() on null in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 12:58:57 Europe/London] PHP Parse error:  syntax error, unexpected 'CheckboxField' (T_STRING) in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 12:59:59 Europe/London] PHP Warning:  Invalid argument supplied for foreach() in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 185
[27-Jun-2017 13:01:43 Europe/London] PHP Warning:  Invalid argument supplied for foreach() in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 185
[27-Jun-2017 13:04:28 Europe/London] PHP Catchable fatal error:  Argument 1 passed to CompositeField::push() must be an instance of FormField, null given, called in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 126 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\CompositeField.php on line 220
[27-Jun-2017 13:05:11 Europe/London] PHP Catchable fatal error:  Argument 1 passed to CompositeField::push() must be an instance of FormField, null given, called in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 126 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\CompositeField.php on line 220
[27-Jun-2017 13:05:22 Europe/London] PHP Catchable fatal error:  Argument 1 passed to CompositeField::push() must be an instance of FormField, null given, called in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 126 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\CompositeField.php on line 220
[27-Jun-2017 13:05:28 Europe/London] PHP Catchable fatal error:  Argument 1 passed to CompositeField::push() must be an instance of FormField, null given, called in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 126 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\CompositeField.php on line 220
[27-Jun-2017 13:05:40 Europe/London] PHP Catchable fatal error:  Argument 1 passed to CompositeField::push() must be an instance of FormField, null given, called in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\FieldList.php on line 126 and defined in C:\Apache24\htdocs\silverstripe\development\master\framework\forms\CompositeField.php on line 220
